error_id,story_ids,area,class,severity,status,title,expected,observed,evidence,resolution,found_at,retested_at
ERR-001,TL-017,,coverage,low,documented,Incident detection/signal clustering has no browser-observable surface (rust_test level),"expected_behavior (CSV): ""Signals are emitted only for the enabled kinds ... Clusters group signals within overlapWindowMs ... Confidence scores 0 / 0.5 / 0.75 / 0.85 ... A failed Intune event supplies the anchor event reference and ... stamps \""(correlated)\"" onto other signals whose materialized message contains the same GUID.""","Not exercisable from a browser: the frontend neither computes incidents nor exposes the tunables. A scan of every button/menuitem in the timeline workspace found no gear/tunables/signal-settings control, and update_timeline_tunables_cmd was never invoked while the workspace was exercised (verified by a recording override).","Test ""[TL-017] incident detection stays a backend contract"" marked test.fixme. Implementation + coverage live in src-tauri/src/timeline/incidents.rs (mod tests_emit/tests_cluster/tests_qualify/tests_detect) per the story's verification_hint (level: rust_test); the frontend only renders bundle.incidents (src/components/timeline/IncidentChipBar.tsx, IncidentDetailPanel.tsx).",,2026-09-24,
ERR-002,EVTX-061,,coverage,low,documented,Analysis-session limits have no browser-observable surface (rust_test level),"expected_behavior (CSV): ""The session registry accepts at most 16 concurrent sessions ... prunes sessions idle past one hour, and validates session ids of at most 128 characters. Appends reject more than 1,000 rows or more than an 8 MiB envelope, timeline pages must ask for between 1 and 1,000 items ... and diagnosis input is capped at 25,000 event records ...""","Not exercisable from a browser: the renderer only forwards evtx_create_analysis_session / evtx_append_analysis_chunk / evtx_query_analysis_timeline / evtx_diagnose_analysis_session / evtx_close_analysis_session, and every limit is enforced in Rust. Overriding the commands would only echo fixture data back.","Test ""[EVTX-061] analysis session limits stay a backend contract"" marked test.fixme. Limits live in src-tauri/src/event_log/analysis_session.rs and commands.rs (verification_hint: those #[test]s, level rust_test). The frontend side is consistent with the documented bounds but does not prove them: EVENT_LOG_TIMELINE_PAGE_SIZE = 1_000 and UNPLACED_PREVIEW_LIMIT = 100 in src/workspaces/event-log/UnifiedTimelineView.tsx, transports decoded in src/lib/commands.ts.",,2026-09-24,
ERR-003,SCCM-061,,coverage,low,documented,PowerShell collector contract has no browser-observable surface,"expected_behavior (CSV): ""Invoke-CmtraceEvidenceCollection.ps1 ... validates the profile shape (unique artifact ids across sections) before collecting, produces a CMTRACE-<timestamp>-<host>-<nonce> bundle with manifest.json, notes.md and the evidence subdirectories ... uploads with Invoke-WebRequest under x-ms-blob-type BlockBlob when a SAS URL is given, and passes every message through Protect-SecretText ...""","Not exercisable from a browser: the entry points are pwsh.exe invocations of scripts/collection/Invoke-CmtraceEvidenceCollection.ps1 and the app exposes no surface that drives them, so no browser assertion can reach bundle layout, redaction, counters or upload.","Test ""[SCCM-061] the PowerShell collector stays outside the browser"" marked test.fixme. Contract + coverage: scripts/collection/Invoke-CmtraceEvidenceCollection.ps1, scripts/collection/intune-evidence-profile.json and its Pester suite scripts/collection/tests/Invoke-CmtraceEvidenceCollection.Tests.ps1 (level: component_test).",,2026-09-24,
ERR-004,SCCM-062,,coverage,low,documented,Bootstrap/detect/remediate scripts need a real Windows endpoint,"expected_behavior (CSV): ""Invoke-CmtraceEvidenceBootstrap.ps1 stages the collector and profile under %ProgramData%\CmtraceOpen\Staging, resolves pwsh.exe and installs the pinned PowerShell 7.5.4 x64 MSI ... registers a one-time SYSTEM scheduled task with -RunLevel Highest and writes throttle state ... Detect-CmtraceEvidenceBootstrap.ps1 ... returns exit 0 with message \""throttled\"" while the state is valid ... otherwise it removes the state file and exits 1 with no-state, invalid-state, expired-state or missing-task.""","Not exercisable from a browser: the contract needs ProgramData, ScheduledTasks, pwsh 7.5.4 and elevated/SYSTEM execution; the Playwright suite runs a plain Chromium against the IPC shim.","Test ""[SCCM-062] the bootstrap and remediation scripts stay outside the browser"" marked test.fixme. Sources: scripts/collection/Invoke-CmtraceEvidenceBootstrap.ps1, Detect-CmtraceEvidenceBootstrap.ps1, Remediate-CmtraceEvidenceBootstrap.ps1 (verification_hint: static-only, no Pester suite exists, level static_only).",,2026-09-24,
ERR-005,INTUNE-038,,coverage,low,documented,"The Win32 redacted export projection has no browser-reachable surface, so the masking/idempotence contract cannot be verified from the app","CSV: ""redacted_export_projection masks only values the analyzer classified Sensitive ... Public records export unchanged, the projection is deterministic and repeatable, and applying it to an already projected analysis changes nothing."" Entry point: parser crate API redacted_export_projection(&Win32Analysis).","The projection is crate-internal: crates/cmtraceopen-parser/src/intune/apps/windows/win32/redaction.rs exports it (re-exported from win32/mod.rs) and only crate tests and the crate's own reducers call it. No Tauri command consumer exists (src-tauri/src/lib.rs invoke_handler has none), no wasm/TS binding exists, and no store field or UI action carries a Win32Analysis, so nothing rendered in the browser can exercise the projection. The only redaction surfaces the frontend can reach are redact_dsregcmd_status_text (dsregcmd) and export_esp_session (ESP), both of which belong to other stories/areas.","`grep -rn redacted_export_projection src-tauri crates`: hits only inside crates/cmtraceopen-parser (src + tests). `grep -rn ""cmtraceopen_parser"" src/`: no frontend reference to the parser crate. Spec: test '[INTUNE-038] the Win32 redacted export projection is unreachable from the browser' is test.fixme.",,2026-09-24,
ERR-006,INTUNE-055,,coverage,low,documented,"The reserved Intune parser leaves have no browser-reachable surface, so 'exports no parser, reducer, findings or type' cannot be observed from the app","CSV: ""The reserved-slot modules — Android Company Portal diagnostics, macOS Company Portal imported diagnostics reports, Windows Update for Business under Intune management, and the macOS pkg / shell-script app leaves — contain only documentation naming their owning issue and the shared contracts they must consume, and export no parser, reducer, findings or type."" Entry points: parser crate module paths (intune::portal::android, ...::macos::company_portal::diagnostics, intune::device::windows::updates, intune::apps::macos).","Those modules are parser-crate only and the web app never links the crate (no wasm or TS binding; all Intune data reaches the UI through Tauri commands), so the reserved slots have no rendered consequence — there is no frontend surface whose behaviour would differ between 'reserved slot' and 'implemented leaf'.","Reserved-slot module paths in crates/cmtraceopen-parser/src/intune/... (mod.rs documentation only). `grep -rn ""cmtraceopen_parser"" src/` returns nothing. Spec: test '[INTUNE-055] the reserved Intune parser leaves are unreachable from the browser' is test.fixme.",,2026-09-24,
ERR-007,TL-007,timeline,ux,high,fixed,Swim-lane hover readout unreachable: BrushOverlay covered the canvas,Hovering a lane bucket shows '<n> rows · <m> errors' in the corner readout; leaving the lanes clears it.,"BrushOverlay renders position:absolute; inset:0 above SwimLaneCanvas without pointer-events, so the canvas never received mousemove: the readout never rendered and the canvas double-click hook could not fire.","e2e/stories/timeline-events.spec.ts '[TL-007] hovering a bucket reports its row and error counts' (RED before the fix, green after); document.elementFromPoint at the lane centre resolved to the overlay div.","SwimLaneCanvas exposes a bucketAtPoint hit test through a ref; BrushOverlay forwards pointer position/leave, and TimelineWorkspace owns the readout. Dead canvas hover props removed.",2026-09-24,2026-09-24
ERR-008,CHROME-100,chrome,logistical,medium,fixed,Debug IPC bridge answered a request split across TCP segments as a parse error,"POST /invoke returns {result} for a well-formed call, with an explicit error only for unsupported or malformed input.","handle_connection performed a single socket read, so a request whose body arrived in a second segment produced 'request parse error: EOF while parsing a value' (or reset the connection); roughly one in four calls failed against the live app.","src-tauri/src/ipc_bridge.rs unit tests: 'request_split_across_writes_is_served_in_full' (RED before, green after), 'whole_request_in_one_write_is_served', 'bodyless_get_is_served'; live probe: 30/30 sequential get_available_workspaces calls clean after the fix.",read_request loops until Content-Length is satisfied (bounded by MAX_REQUEST_BYTES); serve() split out of start() so the real handler is testable on an OS-assigned port.,2026-09-24,2026-09-24
ERR-009,"MACDIAG-006, REG-001, REG-002",macos-diag / registry,coverage,low,accepted,"Three browser-observable paths stay unverified: macOS log rescan, registry key search, registry per-path cache",Rescan degrades every card to a placeholder; registry key search finds keys from the toolbar; re-opening a registry file restores it from the per-path cache without reparsing.,Rescan did not replace the store's scan (files.length stayed 5); registry key search has no caller outside the store (setSearchQuery/searchNext/searchPrevious/expandToPath) and KeyTree only reacts to selectedKeyPath; re-opening a second registry fixture never showed that file's counts.,"e2e/stories/other-workspaces.spec.ts: '[MACDIAG-006] a rescan with no files degrades every card to a placeholder' and '[REG-002] the first open parses and auto-expands, a return to it is cached' are test.fixme with those reasons; REG-001 is static analysis of src/stores/registry-store.ts and src/components/registry-view/KeyTree.tsx.","Recorded as coverage gaps with error_class=harness; the sibling assertions in both specs do pass, so the surrounding behaviour is verified and only these paths are not.",2026-09-24,
ERR-010,SB-011,secureboot,ux,medium,fixed,Secure Boot banner's scanning affordance was dead code,"The banner reports an in-progress scan: a disabled Rescan that reads 'Scanning…', plus the scan-timestamp line.","While a scan runs SecureBootWorkspace replaces the whole results state — banner included — with a centred spinner, so StatusBanner's isScanning branch ('Scanning…', disabled Rescan) and its scanTimestamp line can never render; the scanTimestamp prop is never passed by the workspace.","e2e/stories/other-workspaces.spec.ts '[SB-011] the banner reports the in-progress scan and disables Rescan' (test.fixme, reason recorded): no element reading 'Scanning…' is in the DOM during a deferred rescan, while the sibling test observes the analysing spinner copy 'Running detection script...' and the disabled action buttons.","The unreachable banner branch and its unused prop are removed; the workspace's analysing spinner is the single scanning affordance, and SB-011's contract text is corrected to match.",2026-09-24,2026-09-24
